Mfg Part Number	Mfg Name	VID	Vendor Part Num	Description	Ppg Code
C2012X5R1H335K125AB		DK	445-5978-1-ND	CAP CER 3.3UF 50V 10% X5R 0805	0805
C315C104M5U5TA		DK	399-4151-ND	CAP CER 0.1UF 50V 20% RADIAL	*
C315C224K1R5TA7303		DK	399-9861-1-ND	CAP CER 0.22UF 100V 10% RADIAL	*
C320C221J2G5TA		DK	399-4280-ND	CAP CER 220PF 200V 5% RADIAL	*
C330C225M5U5TA		DK	399-4403-ND	CAP CER 2.2UF 50V 20% RADIAL	*
CD4504BE		DK	296-3527-5-ND	IC VOLT-LVL SHIFTER HEX 16-DIP	*
CDRH4D22HPNP-4R7NC		DK	308-2028-1-ND	FIXED IND 4.7UH 1.8A 82.6 MOHM	*
CF14JT10K0		DK	CF14JT10K0CT-ND	RES 10K OHM 1/4W 5% CARBON FILM	*
CF14JT2K20		DK	CF14JT2K20CT-ND	RES 2.2K OHM 1/4W 5% CARBON FILM	*
CL03C100JA3GNNC		DK	1276-1384-1-ND	CAP CER 10PF 25V 5% NP0 0201	0201
CL10C5R6CB8NNNC		DK	1276-1128-1-ND	CAP CER 5.6PF 50V NP0 0603	0603
CL31A106KAHNNNE		DK	1276-1075-1-ND	CAP CER 10UF 25V 10% X5R 1206	1206
CL31B225KBHNNNE		DK	1276-1291-1-ND	CAP CER 2.2UF 50V 10% X7R 1206	1206
CN-6707		DK	377-1531-ND	"BOX ALUM 5.47X4.01X3.04"" NAT"	*
CSLA2CD		DK	480-1994-ND	SENSOR CURRENT HALL 72A AC/DC	*
D25P13A4GL00LF		DK	609-1500-ND	CONN D-SUB PLUG 25POS R/A SOLDER	*
D3023		DK	PB1066-ND	RELAY TELECOM DPDT 2A 5V	*
D3023		DK	PB1066-ND	RELAY TELECOM DPDT 2A 5V	*
DF13-2630SCFA		DK	H9991CT-ND	CONN CONTACT 26-30AWG CRIMP GOLD	*
DF13-40DS-1.25C		DK	H2234-ND	CONN SOCKET HOUSING 40POS 1.25MM	*
DF13-8S-1.25C		DK	H2185-ND	CONN SOCKET HOUSING 8POS 1.25MM	*
DF13-TB2630HC		DK	H9994-ND	TOOL HAND CRIMPER 26-30AWG DF13	*
DF13A-8P-1.25H(50)		DK	H3386-ND	CONN HEADER 8POS 1.25MM R/A SMD	*
DF9-31S-1V(32)		DK	H10406CT-ND	CONN RECEPT 31POS 1MM SMD TIN	*
DFLS240L-7		DK	DFLS240LDICT-ND	DIODE SCHOTTKY 40V 2A POWERDI123	*
DSPIC30F4011-30I/P		DK	DSPIC30F4011-30IP-ND	IC DSC 16BIT 48KB FLASH 40DIP	*
DSPIC30F4011-30I/PT		DK	DSPIC30F401130IPT-ND	IC DSC 16BIT 48KB FLASH 44TQFP	SMD
DSPIC30F4012-30I/SP		DK	DSPIC30F401230ISP-ND	IC DSC 16BIT 48KB FLASH 28SDIP	*
DSPIC33EP512GP806-I/PT		DK	DSPIC33EP512GP806-I/PT-ND	IC DSC 16BIT 512KB FLASH 64-TQFP	SMD
EE2-5NU-L		DK	399-11017-1-ND	RELAY GEN PURPOSE DPDT 2A 5V	SMD
EEC-S5R5V474		DK	P6974-ND	CAP 470MF -20% +150% 5.5V T/H	*
EKMG351ELL1R0MF11D		DK	565-1400-ND	CAP ALUM 1UF 20% 350V RADIAL	*
ERJ-3EKF1873V		DK	P187KHCT-ND	RES SMD 187K OHM 1% 1/10W 0603	0603
ERJ-3GEYJ102V		DK	P1.0KGCT-ND	RES SMD 1K OHM 5% 1/10W 0603	0603
ERJ-3GEYJ103V		DK	P10KGCT-ND	RES SMD 10K OHM 5% 1/10W 0603	0603
ERJ-3GEYJ105V		DK	P1.0MGCT-ND	RES SMD 1M OHM 5% 1/10W 0603	0603
G5LE-1 DC5		DK	Z1014-ND	RELAY GEN PURPOSE SPDT 10A 5V	*
GRM1885C1H222JA01D		DK	490-1459-1-ND	CAP CER 2200PF 50V 5% NP0 0603	0603
GRM188F51E104ZA01D		DK	490-1575-1-ND	CAP CER 0.1UF 25V Y5V 0603	0603
GRM188R71H103KA01D		DK	490-1512-1-ND	CAP CER 10000PF 50V 10% X7R 0603	0603
GRM31CR61A476ME15L		DK	490-5528-1-ND	CAP CER 47UF 10V 20% X5R 1206	1206
HC-49/U-S8000000ABJB		DK	300-6017-ND	CRYSTAL 8.0000MHZ 18PF T/H	*
HCPL3700		DK	HCPL3700-ND	OPTOISO 2.5KV DARLINGTON 8-DIP	*
HCPL3700SD		DK	HCPL3700SDCT-ND	OPTOISO 2.5KV DARLINGTON 8-SMD	SMD
HHR-200AB20T		DK	P010T-ND	BATTERY NIMH 1.2V 2000MAH W/TAB	*
IRF3205ZPBF		DK	IRF3205ZPBF-ND	MOSFET N-CH 55V 75A TO-220AB	*
LM324N		DK	296-1391-5-ND	IC OPAMP GP 1.2MHZ 14DIP	*
LM334Z/NOPB		DK	LM334ZNS/NOPB-ND	IC CURRENT SOURCE 3% TO92-3	*
LT1132ACN#PBF		DK	LT1132ACN#PBF-ND	IC 5DRV/3RCV RS232 5V 24-DIP	*
LT1512CN8#PBF		DK	LT1512CN8#PBF-ND	IC BATT CHRGR CONST I/V 8-DIP	*
LT1764ET#PBF		DK	LT1764ET#PBF-ND	IC REG LDO ADJ 3A TO220-5	*
LT3599EFE#PBF		DK	LT3599EFE#PBF-ND	IC LED DRIVER RGLTR DIM 28TSSOP	SMD
LT8616EFE#PBF		DK	LT8616EFE#PBF-ND	IC REG BUCK ADJ DL SYNC 28TSSOP	SMD
LTC4060EFE#PBF		DK	LTC4060EFE#PBF-ND	IC BATT CHARGR NIMH/NICD 16TSSOP	SMD
M20-9762042		DK	952-1895-ND	20+20 DIL VERT PIN HDR	*
M6E-NANO		DK	1523-1009-1-ND	MOD RFID 1-PORT NANO SMD GEN2	SMD
MAX232EIN		DK	296-27963-5-ND	IC DUAL RS232 ESD-PROT 16-DIP	*
MAX232IN		DK	296-6940-5-ND	IC DUAL EIA-232 DRVR/RCVR 16-DIP	*
MAX3232ECDR		DK	296-19851-1-ND	IC RS232 3V5.5V 15KVESD 16-SOIC	SMD
MCP616-I/P		DK	MCP616-I/P-ND	IC OPAMP GP 190KHZ RRO 8DIP	*
MCP1700-3302E/TO		DK	MCP1700-3302E/TO-ND	IC REG LDO 3.3V 0.25A TO92-3	*
MCP2515-I/P		DK	MCP2515-I/P-ND	IC CAN CONTROLLER W/SPI 18DIP	*
MCP2551-I/P		DK	MCP2551-I/P-ND	IC TRANSCEIVER CAN HI-SPD 8-DIP	*
MCP2562-E/SN	MICROCHIP	DK	MCP2562-E/SN-ND	IC TXRX CAN 8SOIC	SMD
MCR03ERTF5622		DK	RHM56.2KCLCT-ND	RES SMD 56.2K OHM 1% 1/10W 0603	0603
MFR-25FBF52-107K		DK	107KXBK-ND	RES 107K OHM 1/4W 1% AXIAL	*
MFR-25FBF52-12K4		DK	12.4KXBK-ND	RES 12.4K OHM 1/4W 1% AXIAL	*
MI0603L301R-10		DK	240-2374-1-ND	FERRITE CHIP 2A 300 OHM SMD	SMD
MJD200T4G		DK	MJD200T4GOSCT-ND	TRANS NPN 25V 5A DPAK	SMD
MJTP1138BTR		DK	679-2415-1-ND	SWITCH TACTILE SPST-NO 0.05A 12V	SMD
MPX5100AP		DK	MPX5100AP-ND	SENSOR ABS PRESS 16.68 PSI MAX	*
MPX5100DP		DK	MPX5100DP-ND	IC SENSOR PRESS 14.5 PSI MAX	*
CF14JT100K		DK	CF14JT100KCT-ND	RES 100K OHM 1/4W 5% CARBON FILM	*
PIC32MZ2048ECH064-I/PT		DK	PIC32MZ2048ECH064-I/PT-ND	MCU 32BIT 2048KB FLASH 64TQFP	SMD
PIC32MZ2048ECH100-I/PT		DK	PIC32MZ2048ECH100-I/PT-ND	MCU 32BIT 2048KB FLASH 100TQFP	SMD
RC0402FR-0780K6L		DK	311-80.6KLRCT-ND	RES SMD 80.6K OHM 1% 1/16W 0402	0402
RC0603FR-07115RL		DK	311-115HRCT-ND	RES SMD 115 OHM 1% 1/10W 0603	0603
RC0603FR-0721K5L		DK	311-21.5KHRCT-ND	RES SMD 21.5K OHM 1% 1/10W 0603	0603
RC0603FR-0726K7L		DK	311-26.7KHRCT-ND	RES SMD 26.7K OHM 1% 1/10W 0603	0603
RC0603FR-072K2L		DK	311-2.20KHRCT-ND	RES SMD 2.2K OHM 1% 1/10W 0603	0603
RC0603FR-07316KL		DK	311-316KHRCT-ND	RES SMD 316K OHM 1% 1/10W 0603	0603
RC0603FR-0731K6L		DK	311-31.6KHRCT-ND	RES SMD 31.6K OHM 1% 1/10W 0603	0603
RC0603FR-0733K2L		DK	311-33.2KHRCT-ND	RES SMD 33.2K OHM 1% 1/10W 0603	0603
RC0603FR-0738K3L		DK	311-38.3KHRCT-ND	RES SMD 38.3K OHM 1% 1/10W 0603	0603
RC0603FR-0753K6L		DK	311-53.6KHRCT-ND	RES SMD 53.6K OHM 1% 1/10W 0603	0603
RC0603FR-07576RL		DK	311-576HRCT-ND	RES SMD 576 OHM 1% 1/10W 0603	0603
RC0603JR-07100KL		DK	311-100KGRCT-ND	RES SMD 100K OHM 5% 1/10W 0603	0603
RC0603JR-07200KL		DK	311-200KGRCT-ND	RES SMD 200K OHM 5% 1/10W 0603	0603
RC0603JR-0739KL		DK	311-39KGRCT-ND	RES SMD 39K OHM 5% 1/10W 0603	0603
RC0603JR-0747KL		DK	311-47KGRCT-ND	RES SMD 47K OHM 5% 1/10W 0603	0603
RNMF14FTC24R0		DK	S24CACT-ND	RES 24 OHM 1/4W 1% AXIAL	*
RXM-GPS-R4-T		DK	RXM-GPS-R4-TCT-ND	IC GPS RECEIVER R4 SIRF STAR IV	SMD
SG-531P 10.0000MC:ROHS		DK	SER1208-ND	OSC XO 10.000MHZ CMOS TTL PC PIN	*
SN74LS07N		DK	296-14878-5-ND	IC BUFF/DVR HEX N-INV 14DIP	*
SN74LS14N		DK	296-1643-5-ND	IC HEX SCHMITT-TRIG INV 14-DIP	*
SN74LS244DWR		DK	296-1213-1-ND	IC BUFF/DVR TRI-ST DUAL 20SOIC	SMD
SN74LVC244AN		DK	296-8501-5-ND	IC BUFF/DVR TRI-ST DUAL 20DIP	*
SN74LVC245AN		DK	296-8503-5-ND	IC BUS TRANSCEIVER 8BIT 20DIP	*
SR203-TP		DK	SR203-TPCT-ND	DIODE SCHOTTKY 30V 2A DO41	*
T350A105K035AT		DK	399-3529-ND	CAP TANT 1UF 35V 10% RADIAL	*
T350B106K006AT		DK	399-3548-ND	CAP TANT 10UF 6.3V 10% RADIAL	*
TAP106K016SCS		DK	478-1839-ND	CAP TANT 10UF 16V 10% RADIAL	*
TMK107B7224KA-T		DK	587-1246-1-ND	CAP CER 0.22UF 25V 10% X7R 0603	*
U.FL-2LP(V)-04N1-A-(35)		DK	H122039-ND	CABLE ASSEM UFL-UFL 35MM 0.81	*
UMK316AB7475KL-T		DK	587-2994-1-ND	CAP CER 4.7UF 50V 10% X7R 1206	*
V8502A		DK	A10758-ND	HEATSINK TO-220 30X25.40MM	*
VAWQ12-Q24-S5		DK	102-1855-ND	CONVERTER DC/DC 5V 2400MA 12W	*
VAWQ3-Q24-S5H		DK	102-1312-ND	CONVERTER DC/DC 5V 600MA 3W	*
VLF403215MT-4R7M		DK	445-17166-1-ND	FIXED IND 4.7UH 2.13A 87 MOHM	*
VLF504015MT-100M		DK	445-17208-1-ND	FIXED IND 10UH 1.58A 140 MOHM	*
VS-10BQ015-M3/5BT		DK	VS-10BQ015-M3/5BTGICT-ND	DIODE SCHOTTKY 15V 1A DO214AA	*
VS-10CTQ150PBF		DK	10CTQ150PBF-ND	DIODE ARRAY SCHOTTKY 150V TO220	*
W1900		DK	553-1697-ND	ANTENNA PENTA RIGHT ANGLE SMA	*
WHAR50FET		DK	WHAR50FECT-ND	RES 0.5 OHM 1/2W 1% AXIAL	*
XF3M(1)-0415-1B		DK	OR1210CT-ND	CONN FFC FPC 4POS 1.00MM R/A	SMD
1N5221B-TP		DK	1N5221B-TPCT-ND	DIODE ZENER 2.4V 500MW DO35	DO35
CF14JT24K0		DK	F14JT24K0CT-ND	RES 24K OHM 1/4W 5% CARBON FILM	*
CMF50226R00FHEB		DK	CMF226QFCT-ND	RES 226 OHM 1/4W 1% AXIAL	*
MFR-25FBF52-6K49		DK	6.49KXBK-ND	RES 6.49K OHM 1/4W 1% AXIAL	*
TC74HC4052APF		DK	TC74HC4052APF-ND	IC MUX/DEMUX DUAL 4X1 16DIP	*
LM7808CT		DK	LM7808CTFS-ND	IC REG LDO 8V 1A TO220-3	*
CFM14JT5K60		DK	S5.6KQCT-ND	RES 5.6K OHM 1/4W 5% CF MINI	*
C1608C0G1H220J080AA		DK	445-1273-1-ND	CAP CER 22PF 50V 5% C0G 0603	0603
TCTAL0J107M8R		DK	511-1498-1-ND	CAP TANT 100UF 6.3V 20% 1206	1206
T491A226K006AT		DK	399-8279-1-ND	CAP TANT 22UF 6.3V 10% 1206	1206
TACL105K006RTA		DK	478-8774-1-ND	CAP TANT 1UF 6.3V 10% 0603	0603
DF13-8P-1.25H(50)	HIROSE	DK	H3356-ND	CONN HEADER 8POS 1.25MM R/A SMD	SMD
24FC1025T-I/SM	MICROCHIP	DK	24FC1025T-I/SMCT-ND	IC EEPROM 1MBIT 1MHZ 8SOIJ	8SOIJ
3-1634218-2		DK	3-1634218-2-ND	CONN D-SUB PLUG 9POS VERT SOLDER	*
62C2222-01-060C	GRAYHILL	DK	GH7377-ND	ENCODER OPT 2ROW 16POS CONN	*
DSPIC33EP512GP504-I/PT	MICROCHIP	DK	DSPIC33EP512GP504-I/PT-ND	IC MCU 16BIT 512KB FLASH 44TQFP SMD
IMUV9	POLULU	POLULU	IMUV9 MinIMU-9 v3 Gyro, Accelerometer, and Compass (L3GD20H and LSM303D Carrier)	*
DSPIC33EP512GP506-I/PT	MICROCHIP	DK	DSPIC33EP512GP506-I/PT-ND	IC MCU 16BIT 512KB FLASH 64TQFP	SMD
MCP616-I/SN	MICROCHIP	DK	MCP616-I/SN-ND	IC OPAMP GP 190KHZ RRO 8SOIC	SMD
C1812C104KDRAC7800		DK	399-9854-1-ND	0.10µF ±10% 1000V (1kV) X7R Ceramic Capacitor -55°C ~ 125°C Surface Mount, MLCC 1812 (4532 Metric) 0.177" L x 0.126" W (4.50mm x 3.20mm)	SMD
5-1814400-1		DK	A97593-ND	CONN SMA JACK R/A 50 OHM PCB	*
MCP1253-33X50I/MS	MICROCHIP	DK	MCP1253-33X50I/MS-ND	IC REG SWITCHD CAP PROG 8MSOP	SMD
CL21F104ZBCNNNC	SAMSUNG	DK	1276-1007-1-ND	0.10µF -20%, +80% 50V Y5V (F) Ceramic Capacitor -30°C ~ 85°C Surface Mount, MLCC 0805 (2012 Metric) 0.079" L x 0.049" W (2.00mm x 1.25mm)	0805
LQH43MN330K03L		DK	490-6660-1-ND	FIXED IND 33UH 270MA 1.2 OHM SMD	SMD
LM2592HVSX-3.3/NOPB		DK	LM2592HVSX-3.3/NOPBCT-ND	IC REG BUCK 3.3V 2A TO263-5	TO-263-6
B140-13-F		DK	B140-FDICT-ND	DIODE SCHOTTKY 40V 1A SMA	SMA
24LC1025T-I/SN	MICROCHIP	DK	24LC1025T-I/SNCT-ND	IC EEPROM 1MBIT 400KHZ 8SOIC	8-SOIC
C0805C220J5GACTU		DK	399-1113-1-ND	22pF ±5% 50V C0G, NP0 Ceramic Capacitor -55°C ~ 125°C Surface Mount, MLCC 0805 (2012 Metric) 0.079" L x 0.049" W (2.00mm x 1.25mm)	0805
F931C105MAA		DK	478-8234-1-ND	CAP TANT 1UF 16V 20% 1206	SMD
DF13A-6P-1.25H(20)	HIROSE	DK	H3371-ND	6 Positions Header, Shrouded Connector 0.049" (1.25mm) Surface Mount, Right Angle Tin	SMD
RC0603FR-0710KL		DK	311-10.0KHRCT-ND	RES SMD 10K OHM 1% 1/10W 0603	0603
T491A106K004AT		DK	399-9706-1-ND	CAP TANT 10UF 4V 10% 1206	1206
T491A106M006AT		DK	399-3685-1-ND	CAP TANT 10UF 6.3V 20% 1206	1206
BL01RN1A1D2B		DK	490-10997-ND	FERRITE BEAD AXIAL 1LN	*
RC0603FR-075K11L		DK	311-5.11KHRCT-ND	RES SMD 5.11K OHM 1% 1/10W 0603	0603
T545X227M016ATE035		DK	399-8858-1-ND	CAP TANT POLY 220UF 16V 2917	2917
74LCX14MX		DK	74LCX14MXCT-ND	IC INVERTER HEX 5V SCHMITT 14SOI	14-SOIC
1-282847-0		DK	A98098-ND	TERM BLOCK 10POS 35DEG 5.08MM	*
RL1218FK-070R604L		DK	311-0.604PJCT-ND	RES SMD 0.604 OHM 1W 1812 WIDE	SMD
LQH43MN220K03L		DK	490-6657-1-ND	FIXED IND 22UH 320MA 940 MOHM	SMD
S29GL128S90TFI010		DK	1274-1029-ND	IC FLASH 128MBIT 90NS 56TSOP	56TSOP
AS6C3216-55TIN		DK	1450-1026-ND	IC SRAM 32MBIT 55NS 48TSOP	48TSOP
S1D13L02F00A100	DK	EPSON	S1D13L02F00A100-ND	IC GRAPHIC LCD CTRLR 208QFP	208QFP
PTS810 SJM 250 SMTR LFS		DK	CKN10502CT-ND	SWITCH TACTILE SPST-NO 0.05A 16V	SMD
PIC32MZ2048ECH144-I/PH	MICROCHIP	DK	PIC32MZ2048ECH144-I/PH-ND	IC MCU 32BIT 2MB FLASH 144TQFP	144TQFP
SG-636PCE 10.000MHZ	EPSON	DK	SER2818CT-ND	OSC XO 10.000MHZ CMOS SMD	SMD
BZX84C30-7-F		DK	BZX84C30-FDICT-ND	DIODE ZENER 30V 300MW SOT23-3	SOT23-3
MIC2287CYD5-TR		DK	576-2656-1-ND	LED Driver IC 1 Output DC DC Regulator Step-Up (Boost) Analog, PWM Dimming 750mA (Switch)	TSOT-23-5
1N4148WT		DK	1N4148WTCT-ND	DIODE GEN PURP 75V 200MA	SOD523F
BZT52C3V3S-7-F		DK	BZT52C3V3S-FDICT-ND	DIODE ZENER 3.3V 200MW	SOD323
MCP619-I/SL	MICROCHIP	DK	MCP619-I/SL-ND	IC OPAMP GP 190KHZ RRO	14SOIC
RC0603FR-071KL		DK	311-1.00KHRCT-ND	RES SMD 1K OHM 1% 1/10W	0603
RC0603FR-07100KL		DK	311-100KHRCT-ND	RES SMD 100K OHM 1% 1/10W	0603
RC0603FR-071M1L		DK	YAG3324CT-ND	RES SMD 1.1M OHM 1% 1/10W	0603
RC0603FR-07470KL		DK	311-470KHRCT-ND	RES SMD 470K OHM 1% 1/10W	0603
RC0603FR-077K15L		DK	311-7.15KHRCT-ND	RES SMD 7.15K OHM 1% 1/10W	0603
RC0603FR-075K23L		DK	311-5.23KHRCT-ND	RES SMD 5.23K OHM 1% 1/10W	0603
RC0603FR-0727KL		DK	311-27.0KHRCT-ND	RES SMD 27K OHM 1% 1/10W	0603
SBH11-PBPC-D20-ST-BK		DK	S9175-ND	40 Positions Header, Shrouded Connector 0.100" (2.54mm) Through Hole Gold *
M20-9770246	HARWIN	DK	952-1770-ND	2 Positions Header, Unshrouded, Breakaway Connector 0.100" (2.54mm) Through Hole Tin	*
MCP617-I/SN	MICROCHIP	DK	MCP617-I/SN-ND	IC OPAMP GP 190KHZ RRO	8SOIC
CL21F224ZBCNNNC	SAMSUNG	DK	1276-2711-1-ND	0.22µF -20%, +80% 50V Y5V (F) Ceramic Capacitor -30°C ~ 85°C Surface Mount, MLCC	0805
CL21B222KBANNNC	SAMSUNG	DK	1276-1171-1-ND	2200pF ±10% 50V X7R Ceramic Capacitor -55°C ~ 125°C Surface Mount, MLCC	0805
T-51750GD065J-LW-BHN	KYOCERA	DK	73-13889-ND	LCD DISPLAY 6.5" TRANS W/TOUCH *
KN5700B1/4	TE CONNECTIVITY	DK	SWITCH KNOB STRAIGHT .75" BLACK	*
1-1634218-2		DK	A114803-ND	CONN D-SUB PLUG 9POS VERT SOLDER *
DF13-8P-1.25DSA		DK	H2197-ND	CONN HEADER 8POS 1.25MM STR TIN SMD
PEC11S-9215K-H0015		DK	PEC11S-9215K-H0015-ND	ENCODER ROTARY SMD
51296-5494		DK	WM6472CT-ND	CONN FFC BOTTOM 54POS 0.50MM R/A SMD
RC0603FR-07432RL		DK	311-432HRCT-ND	RES SMD 432 OHM 1% 1/10W 0603	0603
RC0603FR-0718KL		DK	311-18.0KHRCT-ND	RES SMD 18K OHM 1% 1/10W 0603	0603
RC0603FR-07866RL		DK	311-866HRCT-ND	RES SMD 866 OHM 1% 1/10W 0603	0603
5747840-3		DK		A32091-ND	CONN D-SUB PLUG 9POS R/A SOLDER *
LM2592HVSX-5.0/NOPB		DK	LM2592HVSX-5.0/NOPBCT-ND	IC REG BUCK 5V 2A TO263-5	SMD
